1449 384 480
204 350 8 1
205 350 8 1
206 350 8 1
207 350 8 1
208 350 8 1
209 350 8 1
210 350 8 1
211 350 8 1
212 350 8 1
213 350 8 1
214 350 8 1
233 126 6 1
215 350 8 1
234 126 6 1
216 350 8 1
235 126 6 1
217 350 8 1
236 126 6 1
218 350 8 1
237 126 6 1
219 350 8 1
238 126 6 1
220 350 8 1
239 126 6 1
221 350 8 1
240 126 6 1
222 350 8 1
223 350 8 1
224 350 8 1
91 107 10 0
92 107 10 0
93 107 10 0
94 107 10 0
95 107 10 0
96 107 10 0
97 107 10 0
226 428 9 0
227 428 9 0
228 428 9 0
229 428 9 0
230 428 9 0
231 428 9 0
170 360 8 1
232 428 9 0
171 360 8 1
233 428 9 0
172 360 8 1
234 428 9 0
173 360 8 1
235 428 9 0
174 360 8 1
236 428 9 0
175 360 8 1
237 428 9 0
176 360 8 1
238 428 9 0
177 360 8 1
239 428 9 0
178 360 8 1
240 428 9 0
179 360 8 1
180 360 8 1
181 360 8 1
240 136 6 1
241 136 6 1
242 136 6 1
243 136 6 1
244 136 6 1
245 136 6 1
246 136 6 1
247 136 6 1
87 117 10 0
149 370 8 1
88 117 10 0
150 370 8 1
89 117 10 0
151 370 8 1
90 117 10 0
152 370 8 1
91 117 10 0
153 370 8 1
92 117 10 0
154 370 8 1
93 117 10 0
155 370 8 1
156 370 8 1
157 370 8 1
158 370 8 1
159 370 8 1
160 370 8 1
161 370 8 1
162 370 8 1
163 370 8 1
164 370 8 1
165 370 8 1
166 370 8 1
99 88 10 0
201 263 7 1
100 88 10 0
202 263 7 1
101 88 10 0
203 263 7 1
102 88 10 0
204 263 7 1
103 88 10 0
205 263 7 1
206 263 7 1
207 263 7 1
208 263 7 1
209 263 7 1
253 409 9 0
226 117 6 1
227 117 6 1
228 117 6 1
229 117 6 1
230 117 6 1
231 117 6 1
232 117 6 1
95 98 10 0
197 273 7 1
96 98 10 0
198 273 7 1
97 98 10 0
199 273 7 1
98 98 10 0
200 273 7 1
99 98 10 0
201 273 7 1
100 98 10 0
202 273 7 1
101 98 10 0
203 273 7 1
242 419 9 0
243 419 9 0
244 419 9 0
245 419 9 0
246 419 9 0
247 419 9 0
248 419 9 0
187 351 8 1
249 419 9 0
188 351 8 1
250 419 9 0
189 351 8 1
251 419 9 0
190 351 8 1
252 419 9 0
191 351 8 1
192 351 8 1
193 351 8 1
194 351 8 1
195 351 8 1
196 351 8 1
197 351 8 1
198 351 8 1
199 351 8 1
200 351 8 1
201 351 8 1
202 351 8 1
203 351 8 1
204 351 8 1
205 351 8 1
206 351 8 1
207 351 8 1
208 351 8 1
209 351 8 1
210 351 8 1
211 351 8 1
212 351 8 1
213 351 8 1
214 351 8 1
215 351 8 1
234 127 6 1
216 351 8 1
235 127 6 1
217 351 8 1
236 127 6 1
218 351 8 1
237 127 6 1
219 351 8 1
238 127 6 1
220 351 8 1
239 127 6 1
221 351 8 1
240 127 6 1
222 351 8 1
241 127 6 1
223 351 8 1
224 351 8 1
225 351 8 1
90 108 10 0
91 108 10 0
92 108 10 0
93 108 10 0
94 108 10 0
95 108 10 0
96 108 10 0
97 108 10 0
225 429 9 0
226 429 9 0
227 429 9 0
228 429 9 0
229 429 9 0
230 429 9 0
169 361 8 1
231 429 9 0
170 361 8 1
232 429 9 0
171 361 8 1
233 429 9 0
172 361 8 1
234 429 9 0
173 361 8 1
235 429 9 0
174 361 8 1
236 429 9 0
175 361 8 1
237 429 9 0
176 361 8 1
238 429 9 0
177 361 8 1
239 429 9 0
178 361 8 1
179 361 8 1
241 137 6 1
242 137 6 1
243 137 6 1
244 137 6 1
245 137 6 1
246 137 6 1
247 137 6 1
87 118 10 0
88 118 10 0
89 118 10 0
151 371 8 1
90 118 10 0
152 371 8 1
91 118 10 0
153 371 8 1
92 118 10 0
154 371 8 1
93 118 10 0
155 371 8 1
156 371 8 1
157 371 8 1
158 371 8 1
159 371 8 1
160 371 8 1
161 371 8 1
162 371 8 1
163 371 8 1
164 371 8 1
99 89 10 0
201 264 7 1
100 89 10 0
202 264 7 1
101 89 10 0
203 264 7 1
102 89 10 0
204 264 7 1
103 89 10 0
205 264 7 1
206 264 7 1
207 264 7 1
208 264 7 1
251 410 9 0
252 410 9 0
253 410 9 0
254 410 9 0
255 410 9 0
225 118 6 1
226 118 6 1
227 118 6 1
228 118 6 1
229 118 6 1
230 118 6 1
231 118 6 1
232 118 6 1
233 118 6 1
196 274 7 1
95 99 10 0
197 274 7 1
96 99 10 0
198 274 7 1
97 99 10 0
199 274 7 1
98 99 10 0
200 274 7 1
99 99 10 0
201 274 7 1
100 99 10 0
202 274 7 1
101 99 10 0
203 274 7 1
241 420 9 0
242 420 9 0
243 420 9 0
182 352 8 1
244 420 9 0
183 352 8 1
245 420 9 0
184 352 8 1
246 420 9 0
185 352 8 1
247 420 9 0
186 352 8 1
248 420 9 0
187 352 8 1
249 420 9 0
188 352 8 1
250 420 9 0
189 352 8 1
190 352 8 1
191 352 8 1
192 352 8 1
193 352 8 1
194 352 8 1
195 352 8 1
196 352 8 1
197 352 8 1
198 352 8 1
199 352 8 1
200 352 8 1
201 352 8 1
202 352 8 1
203 352 8 1
204 352 8 1
205 352 8 1
206 352 8 1
207 352 8 1
208 352 8 1
209 352 8 1
210 352 8 1
211 352 8 1
212 352 8 1
213 352 8 1
214 352 8 1
215 352 8 1
216 352 8 1
235 128 6 1
217 352 8 1
236 128 6 1
218 352 8 1
237 128 6 1
219 352 8 1
238 128 6 1
220 352 8 1
239 128 6 1
221 352 8 1
240 128 6 1
222 352 8 1
241 128 6 1
223 352 8 1
242 128 6 1
224 352 8 1
90 109 10 0
91 109 10 0
92 109 10 0
93 109 10 0
94 109 10 0
95 109 10 0
96 109 10 0
224 430 9 0
225 430 9 0
226 430 9 0
227 430 9 0
228 430 9 0
167 362 8 1
229 430 9 0
168 362 8 1
230 430 9 0
169 362 8 1
231 430 9 0
170 362 8 1
232 430 9 0
171 362 8 1
233 430 9 0
172 362 8 1
234 430 9 0
173 362 8 1
235 430 9 0
174 362 8 1
236 430 9 0
175 362 8 1
237 430 9 0
176 362 8 1
177 362 8 1
178 362 8 1
241 138 6 1
242 138 6 1
243 138 6 1
244 138 6 1
245 138 6 1
246 138 6 1
247 138 6 1
86 119 10 0
87 119 10 0
209 255 7 1
88 119 10 0
89 119 10 0
90 119 10 0
91 119 10 0
92 119 10 0
98 90 10 0
200 265 7 1
99 90 10 0
201 265 7 1
100 90 10 0
202 265 7 1
101 90 10 0
203 265 7 1
102 90 10 0
204 265 7 1
103 90 10 0
205 265 7 1
104 90 10 0
206 265 7 1
207 265 7 1
208 265 7 1
250 411 9 0
251 411 9 0
252 411 9 0
253 411 9 0
254 411 9 0
255 411 9 0
226 119 6 1
227 119 6 1
228 119 6 1
229 119 6 1
230 119 6 1
231 119 6 1
232 119 6 1
233 119 6 1
234 119 6 1
94 100 10 0
196 275 7 1
95 100 10 0
197 275 7 1
96 100 10 0
198 275 7 1
97 100 10 0
199 275 7 1
98 100 10 0
200 275 7 1
99 100 10 0
201 275 7 1
100 100 10 0
202 275 7 1
240 421 9 0
241 421 9 0
180 353 8 1
242 421 9 0
181 353 8 1
243 421 9 0
182 353 8 1
244 421 9 0
183 353 8 1
245 421 9 0
184 353 8 1
246 421 9 0
185 353 8 1
247 421 9 0
186 353 8 1
248 421 9 0
187 353 8 1
249 421 9 0
188 353 8 1
250 421 9 0
189 353 8 1
190 353 8 1
191 353 8 1
192 353 8 1
193 353 8 1
194 353 8 1
195 353 8 1
196 353 8 1
197 353 8 1
198 353 8 1
199 353 8 1
200 353 8 1
201 353 8 1
202 353 8 1
203 353 8 1
204 353 8 1
205 353 8 1
206 353 8 1
207 353 8 1
208 353 8 1
209 353 8 1
210 353 8 1
211 353 8 1
212 353 8 1
213 353 8 1
214 353 8 1
215 353 8 1
216 353 8 1
217 353 8 1
236 129 6 1
218 353 8 1
237 129 6 1
219 353 8 1
238 129 6 1
220 353 8 1
239 129 6 1
221 353 8 1
240 129 6 1
222 353 8 1
241 129 6 1
223 353 8 1
242 129 6 1
224 353 8 1
243 129 6 1
89 110 10 0
90 110 10 0
91 110 10 0
92 110 10 0
93 110 10 0
94 110 10 0
95 110 10 0
96 110 10 0
223 431 9 0
224 431 9 0
225 431 9 0
226 431 9 0
227 431 9 0
166 363 8 1
228 431 9 0
167 363 8 1
229 431 9 0
168 363 8 1
230 431 9 0
169 363 8 1
231 431 9 0
170 363 8 1
232 431 9 0
171 363 8 1
233 431 9 0
172 363 8 1
234 431 9 0
173 363 8 1
174 363 8 1
175 363 8 1
176 363 8 1
177 363 8 1
241 139 6 1
242 139 6 1
243 139 6 1
244 139 6 1
245 139 6 1
246 139 6 1
247 139 6 1
248 139 6 1
207 256 7 1
86 120 10 0
208 256 7 1
87 120 10 0
209 256 7 1
88 120 10 0
210 256 7 1
89 120 10 0
211 256 7 1
90 120 10 0
91 120 10 0
92 120 10 0
98 91 10 0
200 266 7 1
99 91 10 0
201 266 7 1
100 91 10 0
202 266 7 1
101 91 10 0
203 266 7 1
102 91 10 0
204 266 7 1
103 91 10 0
205 266 7 1
104 91 10 0
206 266 7 1
250 412 9 0
251 412 9 0
252 412 9 0
253 412 9 0
254 412 9 0
255 412 9 0
256 412 9 0
226 120 6 1
227 120 6 1
228 120 6 1
229 120 6 1
230 120 6 1
231 120 6 1
232 120 6 1
233 120 6 1
234 120 6 1
235 120 6 1
195 276 7 1
94 101 10 0
196 276 7 1
95 101 10 0
197 276 7 1
96 101 10 0
198 276 7 1
